Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
DIEM,SHA-256,PoW,21739971929.0,21626280000.0,0.2726817242840772,-1.3305899552912686,0.14768778595448948,3,CarpeDiemCoin
PWR,NIST5,PoW/PoS,10069449031.9252,0.0,-0.2401201890339378,1.5302480448350761,-0.5613299649641771,0,PWR Coin
BLRY,Scrypt,PoW/PoS,8998743.2411911,42000000.0,-0.33282114665559515,1.0310043583349568,-0.5276754882010477,0,BillaryCoin
GPU,Scrypt,PoS,40477042.0,221052632.0,-0.2860944112725039,0.832675290373653,-0.26365914974795646,0,GPU Coin
ADZ,X11,PoW,45110324.0,84000000.0,-0.22891533207279943,-0.9140795647146228,0.10422901948941782,3,Adzcoin
SOIL,Dagger,PoW,5702048.0,30000000.0,-0.15546740018626085,-2.1864934280833825,0.33821283122119783,3,SoilCoin
YOC,Scrypt,PoW,636462.55983338,168351300.0,-0.16517983225608965,-1.1037265769865154,-0.02314221282186061,3,YoCoin
SIB,X11GOST,PoW,17263355.0,24000000.0,-0.16868507834037294,-2.2155338905820154,0.5228152664013969,3,SibCoin
ERC,X11,PoW/PoS,10407269.7881868,384000000.0,-0.3940584475176904,1.2203976589060115,-0.40028227113322706,0,EuropeCoin
ZEIT,Scrypt,PoS,36971236046.8073,99000000000.0,0.8660394867643044,0.7880621053997131,-0.26420473877887984,0,ZeitCoin
SWING,SHA-256,PoW/PoS,4377081.60953993,40000000.0,-0.3129649003574273,0.8096891903220256,-0.35507751950393546,0,SwingCoin
SAFEX,Scrypt,PoC,2147483647.0,2147483647.0,-0.07978594178389115,0.5240477012156075,-0.320650398577721,0,SafeExchangeCoin
NEBU,PoS,PoS,20000000.0,20000000.0,-0.3593274626468686,1.5362261984658954,-0.02363177934150376,0,Nebuchadnezzar
FRN,Scrypt,PoW,6570807.65677618,20000000.0,-0.16615971450499706,-1.1036410301349708,-0.023148774530983015,3,Francs
BOLI,X11,PoW,13654082.4987998,25000000.0,-0.2297183584951754,-0.9140557559891358,0.104230475122327,3,BolivarCoin
XRA,X11,PoW/PoS,134554941.15119,75000000.0,-0.39473311329934674,1.2206096072858104,-0.4003093770291782,0,Ratecoin
REV,SHA-256,PoW/PoS,1195525.0,222725000.0,-0.31170752237630106,0.8095850685920423,-0.35506993364231926,0,Revenu
CKC,SHA-256,PoW/PoS,16662820.0,525000000.0,-0.3093741109424955,0.8094190852549784,-0.3550598767617042,0,Clockcoin
VIP,NIST5,PoW/PoS,83450403.0,90000000.0,-0.36153626126439387,1.527181133121247,-0.5601259437867505,0,VIP Tokens
BSD,X11,PoW/PoS,24387724.5010828,139000000.0,-0.3956256187334834,1.2205402007677186,-0.40029361019761556,0,BitSend
OMNI,Scrypt,PoW,616448.0,616448.0,-0.1663700004285731,-1.1036318852031675,-0.023148822862629367,3,Omni
LIR,POS 3.0,PoS,38589808.6658096,33500000.0,-0.34858377094961146,1.5867110849295356,-0.12679913681504437,0,Let it Ride
PUT,Scrypt,PoW/PoS,813092338.575672,2000000000.0,-0.3091028607297535,1.0301417957953196,-0.5276949645087539,0,PutinCoin
IBANK,Scrypt,PoW/PoS,4526324.0,44333333.0,-0.33285925826192453,1.0310016901905017,-0.5276748585616134,0,iBankCoin
FRWC,Scrypt,PoW/PoS,100000000.0,100000000.0,-0.33129742135950757,1.0309990987341744,-0.5276841414979728,0,Frankywillcoin
MUDRA,X13,PoS,5000000.0,200000000.0,-0.23136170968084638,1.543095776857671,-0.28064276314835085,0,MudraCoin
PIZZA,X11,PoW,1377917.0,25000000.0,-0.22986840475249767,-0.9140594637955134,0.10423195090939383,3,PizzaCoin
LC,X11,PoS,657000000.0,657000000.0,-0.33914696505126823,1.0222013360330622,-0.13633617545881335,0,Lutetium Coin
KMD,Equihash,dPoW/PoW,115898131.0,200000000.0,-0.2260813287665827,-1.2002813803144268,0.17885099140943458,3,Komodo
GB,X11,PoW/PoS,15563873.0,50000000.0,-0.39636484148523116,1.2205877822781466,-0.40029605799253376,0,GoldBlocks
CTC,Scrypt,PoW/PoS,43165500.0,90000000.0,-0.33206302559838374,1.0309875785288247,-0.5276777033225072,0,CarterCoin
KRB,CryptoNight,PoW,7822432.72439746,10000000.0,0.30255280036585736,-2.304888407967133,0.3857287677628095,3,Karbo
BXT,SHA-256,PoW/PoS,595429.0,21000000.0,-0.3131459092767128,0.8096987749415189,-0.35507781390855053,0,BitTokens
ZYD,SHA-256,PoW,6243840.0,9736000.0,-0.1463096014532787,-1.324950235414044,0.14944835209317323,3,ZayedCoin
MST,X11,PoW/PoS,657636.34549789,3000000.0,-0.3968804554673181,1.220609814827236,-0.4002961188647646,0,MustangCoin
ZNE,Scrypt,PoW/PoS,2581970.0,21000000.0,-0.33304855166286723,1.031014276198388,-0.527675544666997,0,ZoneCoin
COVAL,Multiple,PoW,1000000000.0,1200000000.0,-0.1035984711140654,-1.8012075318711422,0.35214337811228846,3,Circuits of Value
ROOT,Scrypt,PoW/PoS,1939889.0,0.0,-0.3332053751063716,1.0310259382091045,-0.5276762953412578,0,RootCoin
DOPE,Scrypt,PoW,116845228.0,200000000.0,-0.16353494457856102,-1.1037093459730896,-0.023154935277020103,3,DopeCoin
BTCR,Scrypt,PoS,169598616.0,0.0,-0.2860843780108526,0.8328390887146028,-0.2636833865218115,0,BitCurrency
DLC,SHA-256,PoW,9106714.0,10638298.0,-0.1462682088142622,-1.3249498801408952,0.1494480435013596,3,DollarCoin
SCN,Scrypt,PoW/PoW,665200057.0,3100000000.0,-0.23821326801715748,0.35449095847880546,-0.2515349412549729,0,Swiscoin
SH,Scrypt,PoW,11119200.0,30000000.0,-0.16603318072868678,-1.1036453020565231,-0.023148927098661693,3,Shilling
BUZZ,SHA-256D,PoW/PoS,19577787259.0,20000000000.0,0.030988354496106776,1.9346825174461324,-0.605473222012799,0,BuzzCoin
XPO,PoS,PoS,74033806.7949683,74000000.0,-0.35828395078899966,1.5362120317518049,-0.02363614626093215,0,Opair
PSB,Scrypt,PoW/PoS,33522957.0,0.0,-0.33281934893650433,1.031035477336038,-0.5276800921199251,0,PesoBit
HALLO,X11,PoW/PoS,264678458.288619,1500000000.0,-0.38303361365088223,1.2198443986378205,-0.40026884353109776,0,Halloween Coin
XZC,Lyra2Z,PoW,7568281.24956067,21400000.0,-0.14760749727219832,-2.252778694183483,0.5120115984374074,3,ZCoin
CFC,PoS,PoS,148716816.0,39999898.0,-0.3576123319509839,1.536253783870312,-0.023646464679255758,0,CoffeeCoin
ROYAL,X13,PoS,2500124.0,2500124.0,-0.23279334342530417,1.543206524038719,-0.28065024846839093,0,RoyalCoin
GNJ,X14,PoW/PoS,100000000.0,100000000.0,-0.4190095233154648,1.8320893820952666,-0.5935017906443995,0,GanjaCoin V2
TEAM,PoS,PoS,17818682.1654,301000000.0,-0.35736068900463697,1.5360668958630725,-0.02362043952513173,0,TeamUP
LANA,SHA-256D,PoW/PoS,1082162635.53683,7506000000.0,-0.2837090270126471,1.9361499494613326,-0.6037422974281907,0,LanaCoin
ELE,Ethash,PoW,26205539.0,26205539.0,-0.1596025689959553,-2.006516220843904,0.3182885388273651,3,Elementrem
ZCL,Equihash,PoW,5613550.0,21000000.0,-0.14444979994270007,-1.980586126894514,0.3108286784976905,3,ZClassic
ARK,DPoS,DPoS,108202084.0,125000000.0,3.7130800059704736,2.060025840835027,-0.1875134746079336,0,ARK
